Destination	Package Type Id	Name	Data	Validity	Price
Albania	01997010-19a9-737d-8eeb-2608835049a0	Unlimited Data For 20Day in Albania, Throttled	Unlimited	20	64.86
Albania	01997010-55d7-71a8-b990-4fc73bd7830f	Unlimited Plus Data For 10Day in Albania, Throttled	Unlimited	10	68.92
Albania	01997010-19bd-70ca-a931-c4b1eb30ca5e	Unlimited Data For 30Day in Albania, Throttled	Unlimited	30	95.48
Albania	01997010-55eb-7139-98c7-7d496106bf86	Unlimited Plus Data For 15Day in Albania, Throttled	Unlimited	15	99.29
Albania	01997010-5601-7063-a32e-a8ef8b144dd3	Unlimited Plus Data For 20Day in Albania, Throttled	Unlimited	20	129.15
Albania	01997010-5614-73f2-9f20-e5c5bb7c7665	Unlimited Plus Data For 30Day in Albania, Throttled	Unlimited	30	190.41
Algeria	62ddd0a5-f911-4042-b214-aaf7b5edcf47	Unlimited eSIM Data For 1 Days in Algeria	Unlimited	1	13.19
Algeria	0a26d781-958c-4380-a219-016404ba2c4d	Unlimited Plus eSIM Data For 1 Days in Algeria	Unlimited	1	31.23
Algeria	1e2062b1-9b72-4861-a0e0-e2861de3c738	Unlimited eSIM Data For 3 Days in Algeria	Unlimited	3	37.49
Algeria	b6524da8-315d-484e-9adc-6a648ec93e9f	Unlimited eSIM Data For 5 Days in Algeria	Unlimited	5	61.79
Algeria	8d366219-7038-4087-a080-f84280ce13f3	Unlimited eSIM Data For 7 Days in Algeria	Unlimited	7	86.09
Algeria	f7bae17e-1043-4504-8067-a2585d63d8f0	Unlimited Plus eSIM Data For 3 Days in Algeria	Unlimited	3	89.55
Algeria	a0de520c-a139-43e0-8099-097a85338c6d	Unlimited eSIM Data For 10 Days in Algeria	Unlimited	10	122.54
Algeria	f8515763-e977-4559-8074-05542d8e3a28	Unlimited Plus eSIM Data For 5 Days in Algeria	Unlimited	5	147.88
Algeria	5fb61b56-e520-480a-abc6-e18d2b32662e	Unlimited eSIM Data For 15 Days in Algeria	Unlimited	15	183.31
Algeria	630ca0d8-66cb-405d-8233-580fb7004dcc	Unlimited Plus eSIM Data For 7 Days in Algeria	Unlimited	7	206.2
Algeria	5e3a2be3-a30d-44a4-a575-064492d0d88b	Unlimited Plus eSIM Data For 10 Days in Algeria	Unlimited	10	293.68
Algeria	370519d8-b579-4327-94de-3e08cf6a1cc0	Unlimited Plus eSIM Data For 15 Days in Algeria	Unlimited	15	439.51
Andorra	01997010-4e9c-723f-b533-01179dda2144	Unlimited Data For 1Day in Andorra, Throttled	Unlimited	1	8.91
Andorra	01997010-9d42-73b5-afb8-c1b8d40fcb08	Unlimited Plus Data For 1Day in Andorra, Throttled	Unlimited	1	17.22
Andorra	01997010-4ec6-7092-8b39-cc89ea54889f	Unlimited Data For 3Day in Andorra, Throttled	Unlimited	3	24.69
Andorra	01997010-4eec-73e3-8558-042b34cb6d3d	Unlimited Data For 5Day in Andorra, Throttled	Unlimited	5	39.35
Andorra	01997010-9d57-72d4-abee-2045ab3da7b0	Unlimited Plus Data For 3Day in Andorra, Throttled	Unlimited	3	48.77
Andorra	01997010-4f3d-70d4-839f-b8da67f91e79	Unlimited Data For 7Day in Andorra, Throttled	Unlimited	7	54.85
Andorra	01997010-4f5a-72b4-99c5-9f348307dcf0	Unlimited Data For 10Day in Andorra, Throttled	Unlimited	10	75.33
Andorra	01997010-9d6c-727f-95e1-9a20245fc72e	Unlimited Plus Data For 5Day in Andorra, Throttled	Unlimited	5	78.11
Andorra	01997010-4f6c-7047-b1de-1a9877d3f651	Unlimited Data For 15Day in Andorra, Throttled	Unlimited	15	108.54
Andorra	01997010-9d86-70c9-a2af-d90e56aa2807	Unlimited Plus Data For 7Day in Andorra, Throttled	Unlimited	7	109.12
Andorra	01997010-4f83-734e-87ae-ec7f5d9c112c	Unlimited Data For 20Day in Andorra, Throttled	Unlimited	20	141.21
Andorra	01997010-9d9c-73f9-8188-4495047342aa	Unlimited Plus Data For 10Day in Andorra, Throttled	Unlimited	10	150.08
Andorra	01997010-4f96-72b5-b7b5-ff976cde82e9	Unlimited Data For 30Day in Andorra, Throttled	Unlimited	30	208.21
Andorra	01997010-9db0-7000-aea6-5a210accacfd	Unlimited Plus Data For 15Day in Andorra, Throttled	Unlimited	15	216.52
Andorra	01997010-9dc3-727f-9303-905471adb51f	Unlimited Plus Data For 20Day in Andorra, Throttled	Unlimited	20	281.86
Andorra	01997010-9ddb-73f2-beb2-3742ab03b334	Unlimited Plus Data For 30Day in Andorra, Throttled	Unlimited	30	415.85
Anguilla	465e35a7-e6a8-4c3f-87f9-43c7c2c4be10	Unlimited eSIM Data For 1 Days in Anguilla	Unlimited	1	9.18
Anguilla	023235d0-f45c-44bb-879c-c77659b47917	Unlimited Plus eSIM Data For 1 Days in Anguilla	Unlimited	1	21.61
Anguilla	d4d8818b-4af8-49b0-8491-30d8e7af7b97	Unlimited eSIM Data For 3 Days in Anguilla	Unlimited	3	25.31
Anguilla	d48b4e59-2c2b-4801-b57a-73f99933e6e8	Unlimited eSIM Data For 5 Days in Anguilla	Unlimited	5	41.44
Anguilla	4c78465d-dce7-42de-b6ee-d9aa104079fc	Unlimited eSIM Data For 7 Days in Anguilla	Unlimited	7	57.57
Anguilla	d459cdc2-f82f-45e0-9e0c-5c66466c294c	Unlimited Plus eSIM Data For 3 Days in Anguilla	Unlimited	3	60.32
Anguilla	9a182111-9336-4cf6-bbc5-202e0a072438	Unlimited eSIM Data For 10 Days in Anguilla	Unlimited	10	81.77
Anguilla	44bc1404-0ab5-43bc-88d5-e084bef9c581	Unlimited Plus eSIM Data For 5 Days in Anguilla	Unlimited	5	99.03
Anguilla	b69ae2e0-92fd-456e-b7f1-bf7b8cf2f638	Unlimited eSIM Data For 15 Days in Anguilla	Unlimited	15	122.09
Anguilla	380d5cb7-19ea-48b5-a822-6b548e437be9	Unlimited Plus eSIM Data For 7 Days in Anguilla	Unlimited	7	137.74
Anguilla	e3232d41-a4a3-4f4b-a48c-b0c43a0d76e0	Unlimited Plus eSIM Data For 10 Days in Anguilla	Unlimited	10	195.8
Anguilla	e9863e10-87d7-4350-850a-237abc475599	Unlimited Plus eSIM Data For 15 Days in Anguilla	Unlimited	15	292.58
Antigua and Barbuda	c4538b25-648e-470b-a3b8-1265677524e0	Unlimited eSIM Data For 1 Days in Antigua and Barbuda	Unlimited	1	9.18
Antigua and Barbuda	7f5988fc-8a74-483d-836e-07c8f28551b9	Unlimited Plus eSIM Data For 1 Days in Antigua and Barbuda	Unlimited	1	21.61
Antigua and Barbuda	44c710d7-c5b7-463e-85e3-9d3825295918	Unlimited eSIM Data For 3 Days in Antigua and Barbuda	Unlimited	3	25.31
Antigua and Barbuda	44de0248-ded3-434f-903a-b31b166820da	Unlimited eSIM Data For 5 Days in Antigua and Barbuda	Unlimited	5	41.44
Antigua and Barbuda	c7ebfcc5-def1-4d2a-9fc4-068282fc490a	Unlimited eSIM Data For 7 Days in Antigua and Barbuda	Unlimited	7	57.57
Antigua and Barbuda	00e2c8ca-0890-4f92-9954-c4e5d9f5e1c9	Unlimited Plus eSIM Data For 3 Days in Antigua and Barbuda	Unlimited	3	60.32
Antigua and Barbuda	c8a66f92-8383-43f9-9003-eb30b3f71b03	Unlimited eSIM Data For 10 Days in Antigua and Barbuda	Unlimited	10	81.77
Antigua and Barbuda	54152dc2-6c70-4bc9-863e-62ad9d23131d	Unlimited Plus eSIM Data For 5 Days in Antigua and Barbuda	Unlimited	5	99.03
Antigua and Barbuda	a61068ff-9103-4613-b9d2-53cf66ba78a8	Unlimited eSIM Data For 15 Days in Antigua and Barbuda	Unlimited	15	122.09
Antigua and Barbuda	e61dda9d-ad03-4419-9fc9-ed3901f40fcf	Unlimited Plus eSIM Data For 7 Days in Antigua and Barbuda	Unlimited	7	137.74
Antigua and Barbuda	3e5cf02f-9e93-4aa7-8a71-04c2e4ab5748	Unlimited Plus eSIM Data For 10 Days in Antigua and Barbuda	Unlimited	10	195.8
Antigua and Barbuda	b08e1fe0-630c-4f4e-8fbc-94ab887c7f5d	Unlimited Plus eSIM Data For 15 Days in Antigua and Barbuda	Unlimited	15	292.58
Argentina	9ed54240-a175-4a54-b3eb-ad61e9109dfa	Unlimited eSIM Data For 1 Days in Argentina	Unlimited	1	6.39
Argentina	40fdbeee-46a5-49dc-88c2-c80cb9981d1a	Unlimited Plus eSIM Data For 1 Days in Argentina	Unlimited	1	14.92
Argentina	0a7e4c9c-f503-49bf-98fd-245939df38bd	Unlimited eSIM Data For 3 Days in Argentina	Unlimited	3	17.08
Argentina	0be7abc8-635c-497c-a4a7-17f4eb7e841b	Unlimited eSIM Data For 5 Days in Argentina	Unlimited	5	27.77
Argentina	4bf94591-0d22-4906-afc0-08ce458d096d	Unlimited eSIM Data For 7 Days in Argentina	Unlimited	7	38.46
Argentina	ec39d0fd-f639-4eb2-a14f-986fa0cf7ee4	Unlimited Plus eSIM Data For 3 Days in Argentina	Unlimited	3	40.56
Argentina	f893958a-0ca1-4ec6-b319-d4d2199b55e8	Unlimited eSIM Data For 10 Days in Argentina	Unlimited	10	54.5
Argentina	3c989730-09cb-4d58-90c4-307504bea762	Unlimited Plus eSIM Data For 5 Days in Argentina	Unlimited	5	66.23
Argentina	0a57d661-3e3b-462d-bc36-6f0ee4ac0782	Unlimited eSIM Data For 15 Days in Argentina	Unlimited	15	81.23
Argentina	8b11cdf8-c1db-4333-8ee8-8a284af1d5d7	Unlimited Plus eSIM Data For 7 Days in Argentina	Unlimited	7	91.89
Argentina	b6c3962e-850f-41cf-b3f1-4fe105253e89	Unlimited Plus eSIM Data For 10 Days in Argentina	Unlimited	10	130.37
Argentina	47e0adb9-d117-441c-adc1-130760df90fd	Unlimited eSIM Data For 30 Days in Argentina	Unlimited	30	161.43
Argentina	7c7ae78a-48ab-43c3-be3d-6a015d8bf9e3	Unlimited Plus eSIM Data For 15 Days in Argentina	Unlimited	15	194.52
Argentina	afddb6e3-7145-4799-ba4c-d4eae67b3037	Unlimited Plus eSIM Data For 30 Days in Argentina	Unlimited	30	387.01
Armenia	03890537-0fb1-41ba-a493-38e6bbdcd92c	Unlimited eSIM Data For 1 Days in Armenia	Unlimited	1	9.86
Armenia	aa4e6bca-83ef-4e14-b598-a219ba4e6f66	Unlimited Plus eSIM Data For 1 Days in Armenia	Unlimited	1	23.26
Armenia	1e35fda7-6343-4e74-afae-0cc07eff15e7	Unlimited eSIM Data For 3 Days in Armenia	Unlimited	3	27.54
Armenia	68ff8fc1-0580-4803-b43b-30364366a575	Unlimited eSIM Data For 5 Days in Armenia	Unlimited	5	45.21
Armenia	038bcf3e-7e79-44d1-afec-c47b82f2ed2b	Unlimited eSIM Data For 7 Days in Armenia	Unlimited	7	62.89
Armenia	27a5b41c-eb68-43ab-987d-c38cc4916ec6	Unlimited Plus eSIM Data For 3 Days in Armenia	Unlimited	3	65.67
Armenia	c31c232e-1553-4af2-a408-e96a6b820c46	Unlimited eSIM Data For 10 Days in Armenia	Unlimited	10	89.4
Armenia	4074c1e6-4db0-4994-9473-6854b41b489e	Unlimited Plus eSIM Data For 5 Days in Armenia	Unlimited	5	108.09
Armenia	3e29b507-a99b-4162-9f0f-431f09e5666c	Unlimited eSIM Data For 15 Days in Armenia	Unlimited	15	133.59
Armenia	f7c1526d-32a9-4431-8f76-764da7943bdf	Unlimited Plus eSIM Data For 7 Days in Armenia	Unlimited	7	150.5
Armenia	1f8043a2-acc2-41fd-832e-1fe03e9ad84a	Unlimited Plus eSIM Data For 10 Days in Armenia	Unlimited	10	214.14
Armenia	169daaf3-aff8-47c8-86e4-13d72258b3b0	Unlimited Plus eSIM Data For 15 Days in Armenia	Unlimited	15	320.19
Aruba	38178c0d-e7f2-4e38-ab0d-e78d163f4ea6	Unlimited eSIM Data For 1 Days in Aruba	Unlimited	1	9.18
Aruba	69de528e-31a3-4156-9bf4-c47269f09111	Unlimited Plus eSIM Data For 1 Days in Aruba	Unlimited	1	21.61
Aruba	df785bcd-b755-4cd9-bf3c-eef21c421a50	Unlimited eSIM Data For 3 Days in Aruba	Unlimited	3	25.31
Aruba	a068d0f8-2c16-4573-90f0-d555b56d1073	Unlimited eSIM Data For 5 Days in Aruba	Unlimited	5	41.44
Aruba	ae1006d0-4019-499e-bafb-13a7c461740c	Unlimited eSIM Data For 7 Days in Aruba	Unlimited	7	57.57
Aruba	3c9c013a-e4b2-4afd-a1ae-7faedaff11a4	Unlimited Plus eSIM Data For 3 Days in Aruba	Unlimited	3	60.32
Aruba	4068f2ef-0605-41da-86d8-c7de6c6230e5	Unlimited eSIM Data For 10 Days in Aruba	Unlimited	10	81.77
Aruba	0cb99d77-f4c8-4108-b04d-a584a8ccf0f5	Unlimited Plus eSIM Data For 5 Days in Aruba	Unlimited	5	99.03
Aruba	96217a4e-8ab3-432f-b494-0606ab42edce	Unlimited eSIM Data For 15 Days in Aruba	Unlimited	15	122.09
Aruba	b1bdf349-668a-498a-8d9d-4873abb32bed	Unlimited Plus eSIM Data For 7 Days in Aruba	Unlimited	7	137.74
Aruba	a58fcbf0-402f-4adf-aaea-2e025f098638	Unlimited Plus eSIM Data For 10 Days in Aruba	Unlimited	10	195.8
Aruba	993c35d5-319b-408f-8393-65646da099ff	Unlimited Plus eSIM Data For 15 Days in Aruba	Unlimited	15	292.58
Australia	01997010-4c4d-70e0-8072-b6ff895fcf14	Unlimited Data For 1Day in Australia, Throttled	Unlimited	1	7.97
Australia	01997010-9b0f-7206-ae01-6ef4be0fcc00	Unlimited Plus Data For 1Day in Australia, Throttled	Unlimited	1	15.32
Australia	01997010-4c60-70e7-ac46-91cd779a1ff4	Unlimited Data For 3Day in Australia, Throttled	Unlimited	3	21.93
Australia	01997010-4c75-7281-9ccd-79559376cdc4	Unlimited Data For 5Day in Australia, Throttled	Unlimited	5	34.92
Australia	01997010-9b25-7079-b1a1-d89d390e4557	Unlimited Plus Data For 3Day in Australia, Throttled	Unlimited	3	43.27
Australia	01997010-4c88-721a-9d60-c5483513ea3d	Unlimited Data For 7Day in Australia, Throttled	Unlimited	7	48.65
Australia	01997010-4c9c-732b-a12c-27a985acac1f	Unlimited Data For 10Day in Australia, Throttled	Unlimited	10	66.79
Australia	01997010-9b38-70a0-a912-e128e520b444	Unlimited Plus Data For 5Day in Australia, Throttled	Unlimited	5	69.25
Australia	01997010-4cb0-7252-8c8b-542f70399d21	Unlimited Data For 15Day in Australia, Throttled	Unlimited	15	96.2
Australia	01997010-9b4b-71e4-ad1b-9a2a32b0c2eb	Unlimited Plus Data For 7Day in Australia, Throttled	Unlimited	7	96.72
Australia	01997010-4cc3-71af-b9ca-290de07f0060	Unlimited Data For 20Day in Australia, Throttled	Unlimited	20	125.13
Australia	01997010-9b5f-70fa-83b0-6c14b29afe76	Unlimited Plus Data For 10Day in Australia, Throttled	Unlimited	10	133
Australia	01997010-4cd8-70b3-8c99-5e053b396435	Unlimited Data For 30Day in Australia, Throttled	Unlimited	30	184.47
Australia	01997010-9b73-7261-b6b7-c8c15d92dac0	Unlimited Plus Data For 15Day in Australia, Throttled	Unlimited	15	191.84
Australia	01997010-9b87-715b-84ac-ecc5d1bc9253	Unlimited Plus Data For 20Day in Australia, Throttled	Unlimited	20	249.71
Australia	01997010-9b9c-71c3-87e1-b097b5b4407d	Unlimited Plus Data For 30Day in Australia, Throttled	Unlimited	30	368.39
Austria	01997010-19d3-701f-b8b2-3a9f83f4b80d	Unlimited Data For 1Day in Austria, Throttled	Unlimited	1	2.39
Austria	01997010-5626-7274-bbc4-e4b22a33e593	Unlimited Plus Data For 1Day in Austria, Throttled	Unlimited	1	4.17
Austria	01997010-19ed-701f-b2e3-e807b98cc4c5	Unlimited Data For 3Day in Austria, Throttled	Unlimited	3	5.76
Austria	01997010-1a04-717b-bf41-dedc3d460e26	Unlimited Data For 5Day in Austria, Throttled	Unlimited	5	8.89
Austria	01997010-5638-707e-9f08-de57812e779b	Unlimited Plus Data For 3Day in Austria, Throttled	Unlimited	3	10.92
Austria	01997010-1a1a-72c2-9127-d01f3bf09fd5	Unlimited Data For 7Day in Austria, Throttled	Unlimited	7	12.22
Austria	01997010-1a32-73e1-803e-8c5c252bc6e1	Unlimited Data For 10Day in Austria, Throttled	Unlimited	10	16.6
Austria	01997010-564a-7066-bda5-c4c55b197d21	Unlimited Plus Data For 5Day in Austria, Throttled	Unlimited	5	17.2
Austria	01997010-1a49-73a1-8b40-5215b4f31f23	Unlimited Data For 15Day in Austria, Throttled	Unlimited	15	23.71
Austria	01997010-5660-73ae-bf41-3071db85d085	Unlimited Plus Data For 7Day in Austria, Throttled	Unlimited	7	23.84
Austria	01997010-1a61-716d-9d33-7f6d6be98b02	Unlimited Data For 20Day in Austria, Throttled	Unlimited	20	30.7
Austria	01997010-5676-7141-9279-4a8051a52cdc	Unlimited Plus Data For 10Day in Austria, Throttled	Unlimited	10	32.62
Austria	01997010-1a7c-70cc-a9e0-e93daa4b6ada	Unlimited Data For 30Day in Austria, Throttled	Unlimited	30	45.05
Austria	01997010-5689-7314-a475-85c13ed35b69	Unlimited Plus Data For 15Day in Austria, Throttled	Unlimited	15	46.84
Austria	01997010-56a1-70de-8343-3d20ef721f4e	Unlimited Plus Data For 20Day in Austria, Throttled	Unlimited	20	60.84
Austria	01997010-56b9-7084-b41c-e17c1076bd3c	Unlimited Plus Data For 30Day in Austria, Throttled	Unlimited	30	89.55
Azerbaijan	67b9677b-a51f-4b80-b041-4126b624000e	Unlimited eSIM Data For 1 Days in Azerbaijan	Unlimited	1	19.81
Azerbaijan	d36019ac-1ecc-43d5-9562-5000b1953eda	Unlimited Plus eSIM Data For 1 Days in Azerbaijan	Unlimited	1	47.13
Azerbaijan	e938bc3b-d63b-42ab-8cdc-9ceedc201413	Unlimited eSIM Data For 3 Days in Azerbaijan	Unlimited	3	57.37
Azerbaijan	0e1818e2-3b6e-4347-b3fa-e08bfd65be47	Unlimited eSIM Data For 5 Days in Azerbaijan	Unlimited	5	94.93
Azerbaijan	ae05e02f-f627-4f0b-9ca2-b7acce27e12c	Unlimited eSIM Data For 7 Days in Azerbaijan	Unlimited	7	132.49
Azerbaijan	1770c594-9306-48d4-ab5a-5673f727f6f9	Unlimited Plus eSIM Data For 3 Days in Azerbaijan	Unlimited	3	137.28
Azerbaijan	81b0c98c-f554-4a48-b3f7-0a54df9ddb5e	Unlimited eSIM Data For 10 Days in Azerbaijan	Unlimited	10	188.82
Azerbaijan	4461f2ee-1954-45bb-b4df-7d90d2b5d71a	Unlimited Plus eSIM Data For 5 Days in Azerbaijan	Unlimited	5	227.41
Azerbaijan	f5066a18-2ef2-4b54-a3ad-fa525710e8c7	Unlimited Plus eSIM Data For 7 Days in Azerbaijan	Unlimited	7	317.55
Azerbaijan	9eca4351-dc73-41c2-9783-5854ed615782	Unlimited Plus eSIM Data For 10 Days in Azerbaijan	Unlimited	10	452.75
Bahamas	b604c645-8f1e-4355-96bb-8fc86b6bdd80	Unlimited eSIM Data For 1 Days in Bahamas	Unlimited	1	9.18
Bahamas	f943b5a5-a9d7-4ceb-b95c-90a1f5d31cec	Unlimited Plus eSIM Data For 1 Days in Bahamas	Unlimited	1	21.61
Bahamas	fef4af8c-a98d-45f8-a9ec-e4cd4f1fe277	Unlimited eSIM Data For 3 Days in Bahamas	Unlimited	3	25.31
Bahamas	a3ac7cc2-f64d-4560-a735-13972a86c722	Unlimited eSIM Data For 5 Days in Bahamas	Unlimited	5	41.44
Bahamas	efbea2d9-a918-4daa-a1a3-9cb23fd83f41	Unlimited eSIM Data For 7 Days in Bahamas	Unlimited	7	57.57
Bahamas	21e99b75-cca0-475b-a150-807ec3707311	Unlimited Plus eSIM Data For 3 Days in Bahamas	Unlimited	3	60.32
Bahamas	475fe010-d51e-432a-b62d-a713f42f695a	Unlimited eSIM Data For 10 Days in Bahamas	Unlimited	10	81.77
Bahamas	0319f6c3-cf41-4001-8551-98459782e1bd	Unlimited Plus eSIM Data For 5 Days in Bahamas	Unlimited	5	99.03
Bahamas	e3bb73dc-5746-4e0c-bc6a-87b9e750056c	Unlimited eSIM Data For 15 Days in Bahamas	Unlimited	15	122.09
Bahamas	40e034ff-fe20-4dd6-8595-ba818fd20448	Unlimited Plus eSIM Data For 7 Days in Bahamas	Unlimited	7	137.74
Bahamas	135e4f6d-7df7-4c78-aa46-b697a4b974e4	Unlimited Plus eSIM Data For 10 Days in Bahamas	Unlimited	10	195.8
Bahamas	dd021cf1-d58e-4ac9-aa51-999277f42070	Unlimited Plus eSIM Data For 15 Days in Bahamas	Unlimited	15	292.58
Bahrain	01997010-4b9c-73b5-aea6-499c65a54dc4	Unlimited Data For 1Day in Bahrain, Throttled	Unlimited	1	7.73
Bahrain	01997010-9a6e-71f4-89fc-e30c2cff5887	Unlimited Plus Data For 1Day in Bahrain, Throttled	Unlimited	1	14.85
Bahrain	01997010-4bb3-71a0-88e7-017473d49d4f	Unlimited Data For 3Day in Bahrain, Throttled	Unlimited	3	21.24
Bahrain	01997010-4bc9-7393-b545-b841ecea8260	Unlimited Data For 5Day in Bahrain, Throttled	Unlimited	5	33.81
Bahrain	01997010-9a84-7234-8479-d4946fce1d6d	Unlimited Plus Data For 3Day in Bahrain, Throttled	Unlimited	3	41.89
Bahrain	01997010-4bde-72e9-b1e6-975af24b2346	Unlimited Data For 7Day in Bahrain, Throttled	Unlimited	7	47.1
Bahrain	01997010-4bf1-7274-a554-49147fddf40d	Unlimited Data For 10Day in Bahrain, Throttled	Unlimited	10	64.65
Bahrain	01997010-9a9b-701c-bd09-6bcc9795f2fa	Unlimited Plus Data For 5Day in Bahrain, Throttled	Unlimited	5	67.04
Bahrain	01997010-4c08-739e-b087-57a53297e2d8	Unlimited Data For 15Day in Bahrain, Throttled	Unlimited	15	93.12
Bahrain	01997010-9aaf-7384-a62f-15457e2c2816	Unlimited Plus Data For 7Day in Bahrain, Throttled	Unlimited	7	93.61
Bahrain	01997010-4c1c-72f3-9b2c-079f2e3f40a3	Unlimited Data For 20Day in Bahrain, Throttled	Unlimited	20	121.12
Bahrain	01997010-9ac2-7192-ba57-a63ed7da3fb7	Unlimited Plus Data For 10Day in Bahrain, Throttled	Unlimited	10	128.73
Bahrain	01997010-4c34-717d-a2d0-355ca4f50540	Unlimited Data For 30Day in Bahrain, Throttled	Unlimited	30	178.54
Bahrain	01997010-9ad7-7001-8ee4-3dd8fca48f48	Unlimited Plus Data For 15Day in Bahrain, Throttled	Unlimited	15	185.67
Bahrain	01997010-9ae8-72a8-8b74-7c56f591148f	Unlimited Plus Data For 20Day in Bahrain, Throttled	Unlimited	20	241.67
Bahrain	01997010-9afc-7124-a425-541a3a22e858	Unlimited Plus Data For 30Day in Bahrain, Throttled	Unlimited	30	356.53
Bangladesh	01997010-52e4-71b9-a83f-4615e50d97aa	Unlimited Data For 1Day in Bangladesh, Throttled	Unlimited	1	7.97
Bangladesh	01997010-a25b-7019-aeee-aa4ca6e36650	Unlimited Plus Data For 1Day in Bangladesh, Throttled	Unlimited	1	15.32
Bangladesh	01997010-52fc-73ea-a600-4700f2579419	Unlimited Data For 3Day in Bangladesh, Throttled	Unlimited	3	21.93
Bangladesh	01997010-5310-7166-a3f3-ca3a2ae40d67	Unlimited Data For 5Day in Bangladesh, Throttled	Unlimited	5	34.92
Bangladesh	01997010-a274-73c3-875d-270b4313bf8b	Unlimited Plus Data For 3Day in Bangladesh, Throttled	Unlimited	3	43.27
Bangladesh	01997010-5325-7214-92c4-3e9ac8b20bc9	Unlimited Data For 7Day in Bangladesh, Throttled	Unlimited	7	48.65
Bangladesh	01997010-533a-70ec-9e9c-14ad164b75bc	Unlimited Data For 10Day in Bangladesh, Throttled	Unlimited	10	66.79
Bangladesh	01997010-a28c-730b-affe-92e97338bba8	Unlimited Plus Data For 5Day in Bangladesh, Throttled	Unlimited	5	69.25
Bangladesh	01997010-5358-712f-9783-3f3a14126015	Unlimited Data For 15Day in Bangladesh, Throttled	Unlimited	15	96.2
Bangladesh	01997010-a2a2-7338-9de0-852dd69677de	Unlimited Plus Data For 7Day in Bangladesh, Throttled	Unlimited	7	96.72
Bangladesh	01997010-537e-7024-9eee-d433894f0cdb	Unlimited Data For 20Day in Bangladesh, Throttled	Unlimited	20	125.13
Bangladesh	01997010-a2bb-7094-bc0d-64638db9c67d	Unlimited Plus Data For 10Day in Bangladesh, Throttled	Unlimited	10	133
